lemma	reason
acid	chemical or drug vocabulary
attack	violence-adjacent off-tone
butt	off-tone ambiguity
crude	off-tone ambiguity
deadly	violence-adjacent off-tone
foul	off-tone ambiguity
gay	identity term outside persona vocabulary
suck	off-tone ambiguity
wicked	violence-adjacent off-tone
addict	drug vocabulary
addiction	drug vocabulary
alcohol	drug vocabulary
arse	offensive
ass	offensive
bastard	offensive
bitch	offensive
bloody	off-tone profanity
cf	abbreviation or acronym
cocaine	drug vocabulary
crack	drug ambiguity
cruel	violence-adjacent off-tone
cruelly	violence-adjacent off-tone
cruelty	violence-adjacent off-tone
currency	currency vocabulary
damn	off-tone profanity
death	off-tone
die	off-tone
dime	currency vocabulary
disease	medical or clinical vocabulary
dollar	currency vocabulary
dinar	currency vocabulary
drug	drug vocabulary
drunk	drug or impairment vocabulary
er	abbreviation or acronym
excrement	off-tone
faeces	medical or clinical vocabulary
feces	medical or clinical vocabulary
fuck	offensive
genital	medical or clinical vocabulary
gun	violence-adjacent off-tone
heil	offensive
hell	off-tone
heroin	drug vocabulary
hiv	medical acronym
id	abbreviation or acronym
infection	medical or clinical vocabulary
inject	drug or clinical vocabulary
kill	violence-adjacent off-tone
lesion	medical or clinical vocabulary
mile	unit vocabulary
marijuana	drug vocabulary
morbid	medical or clinical vocabulary
moron	offensive
naked	off-tone ambiguity
narcotic	drug vocabulary
opium	drug vocabulary
overdose	drug or clinical vocabulary
peso	currency vocabulary
piss	offensive
porn	off-tone
pornography	off-tone
rat	off-tone ambiguity
shit	offensive
slur	offensive metatag
suicide	medical or clinical vocabulary
syndrome	medical or clinical vocabulary
symptom	medical or clinical vocabulary
thee	archaic variant
thou	archaic variant
thy	archaic variant
thyself	archaic variant
tumor	medical or clinical vocabulary
vagina	medical or clinical vocabulary
virus	medical or clinical vocabulary
vomit	medical or clinical vocabulary
weapon	violence-adjacent off-tone
pound	unit ambiguity
