lemma	reason
physical	technical register
mathematical	highly technical register
linear	highly technical register
harmonic	highly technical register
syllabic	highly technical register
inferential	highly technical register
titular	formal technical register
amain	archaic variant
amidship	technical register
amok	register or safety ambiguity
amuck	register or safety ambiguity
anon	archaic variant
asleep	register mismatch
astern	technical register
athwart	archaic variant
circumstantially	formal technical register
contrariwise	archaic variant
devilishly	off-tone
dishonorably	off-tone
endways	archaic variant
endwise	archaic variant
extravagantly	register mismatch
graphically	register ambiguity
monstrously	off-tone
offensively	off-tone
plumb	technical register
providentially	register mismatch
severally	archaic or legal register
sideway	nonpreferred variant
sidewise	nonpreferred variant
technically	highly technical register
thence	archaic variant
unawares	archaic register
carrier	technical register
cell	biological/technical register
cyclic	highly technical register
flux	technical register
marine	technical register
node	technical register
nominal	formal technical register
rig	technical register
technical	highly technical register
tonic	technical register
verbal	formal grammatical register
yoke	technical register
